characters_ermittler;Ermittler
characters_junge_frau;Junge Frau
characters_kapitaen;Kapitaen
characters_ohi;Ohi
characters_schriftstellerin;Schriftstellerin
characters_wachmann;Wachmann
texts_ermittler_top_a09_ermittler_der_brief_tseq_title;The letter
spokentexts_ermittler_top_a09_ermittler_der_brief_tseq_st_1;What about the handwriting, the wording... does the farewell letter match the Raven's other letters?
spokentexts_ermittler_top_a09_ermittler_der_brief_tseq_st_2;Yes. It's his handwriting, his words.
spokentexts_ermittler_top_a09_ermittler_der_brief_tseq_st_4;I've read all the Raven's letters. All of them. Over and over again.
spokentexts_ermittler_top_a09_ermittler_der_brief_tseq_st_3;I never thought it was possible. A resurrected Raven...
sequences_ermittler_top_a09_ermittler_der_brief_tseq#3;[The investigator looks at Ohi.]
spokentexts_ermittler_top_a09_ermittler_der_brief_tseq_st_6;The Raven was never dead. I shot the wrong man.
spokentexts_ermittler_top_a09_ermittler_der_brief_tseq_st_5;But that man had the stolen goods, didn't he? So he must have been in league with the Raven. One could hardly call him ''innocent''.
sequences_ermittler_top_a09_ermittler_der_brief_tseq#6;[The investigator looks back to the sea.]
texts_ermittler_top_a09_ermittler_doktor_gebhardt_tseq_title;Dr. Gebhardt
spokentexts_ermittler_top_a09_ermittler_doktor_gebhardt_tseq_st_1;You think that Dr. Gebhardt was really the Raven?
spokentexts_ermittler_top_a09_ermittler_doktor_gebhardt_tseq_st_2;The things Gebhardt describes in his letter aren't part of any police report. Only someone who was there would know them.
spokentexts_ermittler_top_a09_ermittler_doktor_gebhardt_tseq_st_3;Couldn't there have been others involved? One of the police, for instance? What if one of them changed sides?
spokentexts_ermittler_top_a09_ermittler_doktor_gebhardt_tseq_st_4;"Why is it so hard for you to accept the simple truth? There was never a ""new"" Raven. There was only ever the old one. And that was Dr. Gebhardt."
spokentexts_ermittler_top_a09_ermittler_doktor_gebhardt_tseq_st_5;The modus operandi doesn't match. The Raven was not a killer.
sequences_ermittler_top_a09_ermittler_doktor_gebhardt_tseq#5;[The investigator looks at Ohi.]
spokentexts_ermittler_top_a09_ermittler_doktor_gebhardt_tseq_st_6;Legends are rarely what they seem to be, Constable Zellner.
sequences_ermittler_top_a09_ermittler_doktor_gebhardt_tseq#8;[The investigator looks back to the sea.]
texts_ermittler_top_a09_ermittler_schuss_antwort1_tseq_title;The shot was a distraction
spokentexts_ermittler_top_a09_ermittler_schuss_antwort1_tseq_st_1;The gunshot was just a distraction.
spokentexts_ermittler_top_a09_ermittler_schuss_antwort1_tseq_st_2;It wasn't the shot that killed the baroness.
spokentexts_ermittler_top_a09_ermittler_schuss_antwort1_tseq_st_3;But how...
texts_ermittler_top_a09_ermittler_schuss_antwort2_tseq_title;The shot came from the tape
spokentexts_ermittler_top_a09_ermittler_schuss_antwort2_tseq_st_1;The shot that we heard was a recording.
spokentexts_ermittler_top_a09_ermittler_schuss_antwort2_tseq_st_2;The baroness had a tape recorder and good speakers in her cabin. Good enough to make a noise audible on the upper deck.
spokentexts_ermittler_top_a09_ermittler_schuss_antwort2_tseq_st_3;Is that just your suspicion, or do you have proof?
texts_ermittler_top_a09_ermittler_schuss_antwort3_tseq_title;But it was still him
spokentexts_ermittler_top_a09_ermittler_schuss_antwort3_tseq_st_1_direction;pleasurable
spokentexts_ermittler_top_a09_ermittler_schuss_antwort3_tseq_st_1;And yet, he really was the killer.
spokentexts_ermittler_top_a09_ermittler_schuss_antwort3_tseq_st_2_direction;threatening
spokentexts_ermittler_top_a09_ermittler_schuss_antwort3_tseq_st_2;You're enjoying this a bit too much for my taste.
spokentexts_ermittler_top_a09_ermittler_schuss_antwort3_tseq_st_3_direction;slightly threatening
spokentexts_ermittler_top_a09_ermittler_schuss_antwort3_tseq_st_3;Spit it out. My patience is running thin.
texts_ermittler_top_a09_ermittler_schuss_beweise_antwort1_tseq_title;No. But it was possible!
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort1_tseq_st_1;I don't have proof. But that's how he could have done it!
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort1_tseq_st_2;Could! Anything COULD have happened!
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort1_tseq_st_3;Don't be like that, Inspector!
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort1_tseq_st_4_direction;must pull hiself up
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort1_tseq_st_4;Hrrmm.
texts_ermittler_top_a09_ermittler_schuss_beweise_antwort2_tseq_title;Audiotape in the medical facility
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort2_tseq_st_1;There's an audiotape in the medical centre. The reel belongs to the tape player in the baroness' cabin. And there's a Seibling reel in her cabin that belongs to the recorder in the medical centre.
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort2_tseq_st_2;Hmm.
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort2_tseq_st_3;If you check the tape in the medical centre, you'll find a recording of a gunshot on it.
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort2_tseq_st_4;For the sake of argument, let's assume that's true. Where did Gebhardt get a recording of a gunshot?
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort2_tseq_st_5;After a few minutes there's a loud bang on the audiotape. That's our gunshot.
spokentexts_ermittler_top_a09_ermittler_schuss_beweise_antwort2_tseq_st_6;Where did Gebhardt get it from?
