characters_archaeologe;Archaeologe
characters_butler;Butler
characters_direktor;Direktor
characters_ermittler;Ermittler
characters_geiger;Geiger
characters_junge;Junge
characters_ohi;Ohi
characters_pflegerin;Pflegerin
characters_schriftstellerin;Schriftstellerin
characters_wache;Wache
characters_wachmann;Wachmann
texts_a10_eingangsbereich_ausgang_mo_ex_1__2;Examiner la porte
texts_a10_eingangsbereich_ausgang_mo_leave_1-3;Sortir
spokentexts_a10_eingangsbereich_ausgang_ex_1_st_1;Cette porte de sécurité est également fermée...
spokentexts_a10_eingangsbereich_ausgang_ex_1_st_2;Une fois l'alarme sonnée, personne n'a pu s'échapper par les sorties officielles.
spokentexts_a10_eingangsbereich_ausgang_ex_2_st_1;Je vais laisser la porte fermée tant que Legrand n'aura pas cerné le musée avec une armée de policiers.
spokentexts_a10_eingangsbereich_ausgang_leave_1_st_1_direction;Slightly frustrated/disappointed
spokentexts_a10_eingangsbereich_ausgang_leave_1_st_1;Apparemment Anton Jakob Zellner n'arrivera jamais à faire la une des journaux.
spokentexts_a10_eingangsbereich_ausgang_leave_1_st_2_direction;frustriert
spokentexts_a10_eingangsbereich_ausgang_leave_1_st_2;Le directeur du musée et le reste du monde pensent que c'est Legrand qui a arrêté le Dr Gebhardt.
spokentexts_a10_eingangsbereich_ausgang_leave_2_st_1;Je vais rester ici tant que Legrand et les autres ne seront pas arrivés.
spokentexts_a10_eingangsbereich_ausgang_leave_2_st_2;Je vais en profiter pour fouiner un peu.
spokentexts_a10_eingangsbereich_ausgang_leave_3_st_1;Je ne peux tout de même pas partir sans avoir vu l'Oeil du Sphinx !
texts_a10_eingangsbereich_banner_mo_ex_1__2;Examiner la bannière
spokentexts_a10_eingangsbereich_banner_ex_1_st_1_direction;frustrated
spokentexts_a10_eingangsbereich_banner_ex_1_st_1;"""Exclusifs et uniques : Les Yeux du Sphinx. Exposés ensemble pour la première fois."""
spokentexts_a10_eingangsbereich_banner_ex_1_st_2;Espérons que les visiteurs sauront se satisfaire d'un seul Oeil. Dans le cas contraire tous ces efforts n'auront servi à rien.
spokentexts_a10_eingangsbereich_banner_ex_2_st_1;"Malheureusement, maintenant c'est simplement ""l'OEIL du Sphinx""."
spokentexts_a10_eingangsbereich_banner_ex_2_st_2;Mais c'est un peu tard pour changer la bannière.
texts_a10_eingangsbereich_flagge_mo_ex_1;Examiner le mât du drapeau
texts_a10_eingangsbereich_flagge_mo_use_1;Utiliser le mât avec...
spokentexts_a10_eingangsbereich_flagge_ex_1_st_1;Ça pourrait m'être utile !
sequences_a10_eingangsbereich_flagge_ex_1#2;[Ohi grabs the handle of the flag and begins to pull it out of the base.]
sequences_a10_eingangsbereich_flagge_ex_1#3;[Cut to the gate of the treasure chamber.]
sequences_a10_eingangsbereich_flagge_ex_1#4;[Ohi appears with the flagpole in his hands.]
sequences_a10_eingangsbereich_flagge_ex_1#5;[You can only use the flagpole with the gate (Use the pole with the...).If you click somewhere else, Ohi lays the flag down on the floor.]
sequences_a10_eingangsbereich_flagge_take_1#1;[Ohi puts down the flagpole.]
sequences_a10_eingangsbereich_flagge_use_1#1;[Ohi takes the pole and waits for further commands.]
sequences_a10_eingangsbereich_flagge_use_1#2;[You can only use the flagpole with the gate (Use the pole with the...).If you click somewhere else, Ohi lays the flag down on the floor.]
texts_a10_eingangsbereich_haupthalle_mo_leave_1;Aller dans le hall principal
sequences_a10_eingangsbereich_haupthalle_leave_1#1;[Ohi begins to go down the wide stairs.]
texts_a10_eingangsbereich_lanze_mo_ex_1;Examiner la lance
spokentexts_a10_eingangsbereich_lanze_ex_1_st_1;Hmm. Les lances ont l'air solides mais aussi fermement attachées à leur porteur. Peut être que je peux les casser ?
spokentexts_a10_eingangsbereich_lanze_ex_1_st_3;D'un autre côté, il y a déjà eu suffisamment de destruction pour aujourd'hui.
texts_a10_eingangsbereich_schatzkammer_mo_ex_1__2;Examiner la salle au trésor
texts_a10_eingangsbereich_schatzkammer_mo_leave_1__2;Entrer dans la salle au trésor
