characters_araber;Araber
characters_archaeologe;Archäologe
characters_arzt;Arzt
characters_ermittler;Ermittler
characters_geiger;Geiger
characters_junge;Junge
characters_ohi;Ohi
characters_pflegerin;Pflegerin
characters_schriftstellerin;Schriftstellerin
characters_wachmann;Wachmann
texts_a13_dach_ausgang_mo_leave_1;Go back
sequences_a13_dach_ausgang_leave_1#1;"[The Arab goes to the left of the scene, enters the location of ""transition"" from the top right on the roof.]"
texts_a13_dach_lueftungsschacht_mo_ex_1__2__3b;Examine the ventilation shaft
texts_a13_dach_lueftungsschacht_mo_ex_3;Look through the ventilation shaft
texts_a13_dach_lueftungsschacht_mo_use_1;Open the ventilation shaft
texts_a13_dach_lueftungsschacht_mo_used_mit_magnet_am_faden_1;Put the magnet on the thread into the ventilation shaft
texts_a13_dach_lueftungsschacht_mo_used_mit_magnet_am_faden_2;Secure the nut with the magnet
texts_a13_dach_lueftungsschacht_mo_used_mit_schraubenschluessel_1__2;Unscrew the cover
texts_a13_dach_lueftungsschacht_mo_used_mit_schraubenschluessel_3;Unscrew the second screw
texts_a13_dach_lueftungsschacht_mo_used_mit_spiegel;Put the mirror into the ventilation shaft
texts_a13_dach_lueftungsschacht_mo_used_mit_spiegel_an_antenne;Check out the freight car
spokentexts_a13_dach_lueftungsschacht_ex_1_st_1;The ventilation shaft supplies the freight car with fresh air.
spokentexts_a13_dach_lueftungsschacht_ex_1_st_2;It also seems big enough to climb through.
spokentexts_a13_dach_lueftungsschacht_ex_1_st_3;I'd say I've found my way in.
spokentexts_a13_dach_lueftungsschacht_ex_2_st_1;Before I open this, I have to get an overview of the situation in the car.
spokentexts_a13_dach_lueftungsschacht_ex_2_st_2;Knowledge is power!
spokentexts_a13_dach_lueftungsschacht_ex_2_st_3;If I just open the porthole, the guard might see me, and this adventure would be over before it starts.
sequences_a13_dach_lueftungsschacht_ex_3#1;[The Arab tries to look through the vents, but it does not work.]
spokentexts_a13_dach_lueftungsschacht_ex_3_st_1;I can't see anything but the rear of the car through the slots.
spokentexts_a13_dach_lueftungsschacht_ex_3_st_2;That won't do! What I really need is a view of the front.
sequences_a13_dach_lueftungsschacht_use_1#1;[The Arab examined the attachment of the air shaft.]
spokentexts_a13_dach_lueftungsschacht_use_1_st_1;The cover has two hinges on the back. It's possible to open it.
spokentexts_a13_dach_lueftungsschacht_use_1_st_2;But the two screws on the front hold it closed.
spokentexts_a13_dach_lueftungsschacht_used_mit_magnet_am_faden_1_st_1_direction;amused
spokentexts_a13_dach_lueftungsschacht_used_mit_magnet_am_faden_1_st_1; I doubt that I can drag the safe through the ventilation shaft with nothing more than a magnet on a string.
spokentexts_a13_dach_lueftungsschacht_used_mit_magnet_am_faden_1_st_2;And I can't imagine another reason for pushing the string through the ventilation shaft.
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_1_st_1;First I need to get an overview of what's awaiting me in the freight car and then I'll take care of the cover.
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2_st_1;I could unscrew the screws, but I should only open the cover inside the tunnel!
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#2;[The Arab pulls out a wrench, places it on one of the two screws.]
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2_st_2_direction;relieved
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2_st_2;Looks like it actually fits!
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#4;[The Arab begins to turn the screw. At first, he must put in more power, then it is easier.]
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#5;[Cut to the transport wagon, Closeup on the nut.]
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#6;[One of the screw turns from the nut. The nut falls down.]
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#8;[The nut hits clattering to the ground, the guard and the investigators whirl around.]
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2_st_3;What was that?
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#11;[The Arab is scared and petrified, cowering at the ventilation shaft. He hopes not to be discovered.]
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#12;[Cut back to a long shot in the transport wagon.]
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#13;[The investigator comes out of the darkness, he search the ground. Then he looks at the ceiling. The investigator moves next to him, looks around.]
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2_st_4;Sir!
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#15;[The guard picks up a bowl with wrenches, nuts,  etc. The investigator looks at it.]
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2_st_5;Must have fallen out.
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#17;[Cut to the critical face of the investigator.]
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#18;[The investigator takes one of the nuts, turns it in his fingers and thinks. Then he stretched out his arm to the front.]
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#19;[Cut to a long shot.]
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#20;[The investigator let the nut fall to the ground. It sounds similar, but just different from the sound before. The investigator thinks, indicates then on the bowl while he's looking on ventilation.]
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2_st_6;Put that on the floor.
spokentexts_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2_st_7;Yes, sir.
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#23;[The guard puts away the bowl, looks around, then accesses a folded blanket and throws it over, to suppress the noise. The investigator in the foreground is thinking, then goes back to his corner. The guard is on his way to his lair.]
sequences_a13_dach_lueftungsschacht_used_mit_schraubenschluessel_2#24;[Cut back to the roof.]
